Features,Label,Predicted_Label
"Given that \( A, B \) and \( C \) are events such
\( \operatorname{that} \boldsymbol{P}(\boldsymbol{A})=\boldsymbol{P}(\boldsymbol{B})=\boldsymbol{P}(\boldsymbol{C})= \)
\( \mathbf{1} / \mathbf{5}, \boldsymbol{P}(\boldsymbol{A} \cap \boldsymbol{B})=\boldsymbol{P}(\boldsymbol{B} \cap \boldsymbol{C})=\mathbf{0} \) and
\( \boldsymbol{P}(\boldsymbol{A} \cap \boldsymbol{C})=1 / 10 . \) The probability that
at least one of the events \( A, B \) or \( C \)
occurs is
A \( .1 / 2 \)
в. \( 2 / 3 \)
\( c \cdot 2 / 5 \)
D. 3/5",,3.0
"Find the point on the curve \( y=x^{3}- \)
\( 2 x^{2}-x, \) where the tangents are parallel
to \( 3 x-y+1=0 \)",,3.0
"If \( \boldsymbol{f}(\boldsymbol{x})=(\boldsymbol{x}+\mathbf{1})(\boldsymbol{x}+\mathbf{2})(\boldsymbol{x}+\mathbf{3}) \dots . .(\boldsymbol{x}+ \)
\( \boldsymbol{n}), \) then find \( \boldsymbol{f}^{\prime}(\mathbf{0}) \)
A \( \cdot(n) !\left\{1+\frac{1}{2}+\frac{1}{3}+\ldots .+\frac{1}{n}\right\} \)
B . \( (n) ! \)
\( \mathbf{c} \cdot(n) !^{2}\left\{1+\frac{1}{2}+\frac{1}{3}+\ldots .+\frac{1}{n}\right\} \)
D. \( n(n+1) / 2 \)",,3.0
"How may words can be formed using the letter \( A \) thrice, the letter \( B \) twice and
the letter C once?
\( \mathbf{A} \cdot 60 \)
в. 120
c. 90
D. 59",,3.0
"A transparent medium of the angle of
polarisation is \( 60^{\circ} . \) Find the angle of
refraction.",,4.0
"Chlorine gas is passed in a medium which has \( p H=12 . \) Two products \( A \)
and \( B \) are formed with water. Now \( p H \) of
medium is changed to 1 by acidifying it.Again a product \( C \) is formed with
water. It is found that \( A \) is strong
oxidising agent Answer the following questions carefully: Oxidation state of \( C l \) in compound \( A \) is:
A. -1
B. +1
\( c .+3 \)
D. +5",,2.0
"In hydrogen-oxygen fuel cell the carbon rods are immersed in hot aqueous
solution of.
A . \( K C l \)
в. КОН
c. \( H_{2} S O_{4} \)
D. \( N H_{4} C l \)",,2.0
Why molality is preferred over moalarity in expressing the concentration of a solution?,,2.0
"One mole of an ideal gas requires 207 J heat to raise the temperature by 10 K when heated at constant pressure. If the same gas is heated at constant
volume to raise the temperature by the same \( 10 \mathrm{K} \), the heat required is
A . \( 198.7 J \)
B. \( 29 J \)
c. \( 215.3 J \)
D. 124J",,4.0
"A radioactive atom \( _{Y}^{X} M \) emits two \( \alpha^{-} \) particles and one \( \beta \) -particle
respectively. The number of neutrons in
the product nucleus will be :
\( \mathbf{A} \cdot X-Y-4 \)
B. \( X-5-Y \)
c. \( X-3-Y \)
D. \( X-Y-6 \)",,4.0
"An iron ball and a wooden ball of the
same radius are released from a height \( \mathrm{H} \) in vacuum. The times taken by both of them to reach the ground are
A . roughly equal
B. unequal
c. exactly equal
D. in the inverse ratio of their diameters",,4.0
"Four identical plates each of area \( a \) are
separated by a distance \( d \). The
connection is shown below. What is the
capacitance between \( P \) and \( Q ? \)
A \( \cdot \frac{2 a \varepsilon_{0}}{d} \)
B. \( \frac{a \varepsilon_{0}}{2 d} \)
c. \( \frac{\varepsilon_{0}}{d} \)
D. \( \frac{4 a \varepsilon_{0}}{d} \)",,4.0
"Solve the following inequalities:
\( \frac{2 x-3}{4}+8 \geq 2+\frac{4 x}{3} \)
A . \( x \leq 6.3 \)
в. \( x \leq 7 \)
c. \( x \leq 7.3 \)
D. \( x \leq 8.3 \)",,3.0
"Assertion
For an ideal gas in a cyclic process and in an isothermal process change in
internal energy is zero.
Reason
In both processes there is no change in temperature.
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",,2.0
"Assertion: In a cavity within a
conductor, the electric field is zero.
Reason: Charges in a conductor reside
only at its surface.
A. If both assertion and reason are true but the reason is
the correct explanation of assertion.
B. If both assertion and reason are true but the reason is not the correct explanation of assertion.
C. If assertion is true but reason is false.
D. If both the assertion and reason are false.
E. If reason is true but assertion is false.",,4.0
"Which of following is the incorrect
match?
A. Insulin - zinc
B. Haemoglobin - Iron
c. Vitamin \( B_{12} \) - cobalt
D. chlorophyll - chromium",,2.0
"For any integers \( a \) and 3 , there exists
unique integers \( q \) and \( r \) such that \( a= \)
\( 3 q+r . \) Find the possible value of \( r \)",,3.0
"Assertion
An electric bell is a mechanical bell that
functions by means of an electromagnet. When an electric current is applied, it produces a repetitive buzzing or clanging sound. Electric bells have been widely used at railroad crossings, in telephones, fire and burglar alarms, as school bells,
doorbells, and alarms in industrial
plants.
Reason
Electromagnetic force is the force of
attraction between the north and south
poles of magnets
A. Both Assertion and Reason are correct and Reason is the correct explanation for Assertion
B. Both Assertion and Reason are correct but Reason is not the correct explanation for Assertion
c. Assertion is correct but Reason is incorrect
D. Both Assertion and Reason are incorrect",,4.0
"Fill in the blank:
In the carbon cycle, from which stars, hotter than the Sun, obtain their energy,
the \( _{6} C^{12} \) isotope
A. splits up into three alpha particles
B. fuses with another \( _{6} C^{12} \) nucleus to form \( _{12} M g^{2} \)
c. is completely converted into energy
D. is regenerated at the end of the cycle",,4.0
"The position vector of three particles of
masses \( \boldsymbol{m}_{1}=\mathbf{1} \boldsymbol{k} \boldsymbol{g}, \boldsymbol{m}_{2}=\boldsymbol{2} \boldsymbol{k} \boldsymbol{g} \) and
\( \boldsymbol{m}_{3}=\mathbf{3} \boldsymbol{k} \boldsymbol{g} \operatorname{are} \overrightarrow{\boldsymbol{r}}_{1}=(\hat{\boldsymbol{i}}+\boldsymbol{4} \hat{\boldsymbol{j}}+ \)
\( \hat{\boldsymbol{k}}) \boldsymbol{m}, \overrightarrow{\boldsymbol{r}}_{2}=(\hat{\boldsymbol{i}}+\hat{\boldsymbol{j}}+\hat{\boldsymbol{k}}) \boldsymbol{m} \) and \( \overrightarrow{\boldsymbol{r}}_{3}= \)
\( (2 \hat{i}-\hat{j}-2 \hat{k}) \mathrm{m} \) respectively. Find the position vector of their center of mass.
A \( \cdot \frac{1}{2}(\hat{i}+\hat{j}-\hat{k}) m \)
B \( \cdot \frac{1}{2}(\hat{i}+3 \hat{j}-\hat{k}) m \)
c \( \cdot \frac{1}{2}(\hat{i}+\hat{j}-3 \hat{k}) m \)
D \( \cdot \frac{1}{2}(3 \hat{i}+\hat{j}-\hat{k}) m \)",,3.0
"Which of the following does not play a role in blood coagulation?
\( \mathbf{A} \cdot \) Vitamin \( \mathbf{K} \)
B. Vitamin D
c. calcium ions
D. Fibrinogen",,2.0
"Find the unit vector perpendicular to the plane of given vectors. \( \vec{P}=i-2 j+\hat{k} \)
\( \vec{Q}=2 i+j-\hat{k} \)",,4.0
"In the circuit shown in the figure, the
heat produced in the \( 5 \Omega \) resistor due to
the current flowing through it is
\( \mathbf{1 0} \) cal \( s^{-1} \)
The heat generated in the \( 4 \Omega \) resistor is
A \( \cdot 1 \) cal \( s^{-1} \)
B. 2 cal \( s^{-1} \)
c. 3 cal \( s^{-1} \)
D. 4 cal \( s^{-} \)",,4.0
"Hydrogen bomb is based on
A. controlled chain reaction
B. uncontrolled chain reaction
c. nuclear fusion
D. nuclear fission",,2.0
"The long hydrocarbon chain in a soap is water repelling (hydrophobic), which is called:
A. polar tail
B. ring chain
c. non-polar tail
D. none of the above",,2.0
Explain why we dont store lemon pickle in an aluminum utensil.,,2.0
"The solubility product of ferric
hydroxide in aqueous solution is \( 6 \times \)
\( 10^{-38} \) at \( 298 K . \) The solubility of \( F e^{3+} \)
ion will increase when the:
\( \mathbf{A} \cdot p H \) is increased
B. \( p H \) is 7.0
c. \( p H \) is decreased
D. saturated solution is exposed to the atmosphere",,2.0
"State the laws of reflection. Draw a
diagram to show incident and reflected
rays.",,4.0
"A freely falling body crosses points \( P, Q \)
and \( R \) with velocities \( v, 2 v \) and \( 3 v \)
respectively. Find the ratio of the distances \( P Q \) to \( Q R \)",,4.0
"In \( \Delta A B C, A B=A C \) and \( A D \) is
perpendicular bisector of \( \boldsymbol{B C} \). The
property by which \( \Delta A D B \) is not
congruent to \( \Delta A D C \) is
A. SAS property
B. SSS property
c. RHS property
D. AAA property",,2.0
"Evaluate the Given limit:
\( \lim _{x \rightarrow 0} \frac{\sin a x}{\sin b x}, a, b \neq 0 \)",,3.0
"Very short answer type.
Name two catecholamines produced by adrenal medulla.",,1.0
"Rate law for the reaction, \( \boldsymbol{A}+\boldsymbol{B} \longrightarrow \)
product is rate \( =\boldsymbol{k}[\boldsymbol{A}]^{2}[\boldsymbol{B}] . \) What is the
rate constant; if rate of reaction at a
given temperature is \( 0.22 M s^{-1}, \) when
\( [\boldsymbol{A}]=\mathbf{1} \boldsymbol{M} \) and \( [\boldsymbol{B}]=\mathbf{0 . 2 5} \boldsymbol{M} ? \)
\( \mathbf{A} \cdot 3.52 M^{-2} s^{-1} \)
B . \( 0.88 M^{-2} s^{-1} \)
c. \( 1.136 M^{-2} s^{-1} \)
D. \( 0.05 M^{-2} s^{-1} \)",,2.0
"Adrenal gland is associated with
A. Pharynx
B. Pancreas
c. Kidney
D. Brain",,1.0
"The series of natural numbers is
divided into groups (1),(2,3,4),(3,4,5,6,7),(4,5,6,7,8,9
Let the sum of the numbers in \( n t h \)
group be \( =[k n-m]^{2} \).FInd \( k+m ? \)",,3.0
"The coefficient of \( t^{4} \) in the expansion of
\( \left(1+t^{2}\right)^{3} \)
\( A \)
B. 3
\( c \cdot-3 \)
D. -",,3.0
"How many moles of electrons wil
together contribute to the charge of 289500 coulomb?",,2.0
"Number of coulombs required to deposit \( 90 g \) of \( A l \) when the electrode
reaction \( A l^{3+}+3 e \rightarrow A l \) is
A \( \cdot 9.65 \times 10^{6} \)
B. \( 8.685 \times 10^{4} \)
c. \( 9.65 \times 10^{4} \)
D. 6.955",,2.0
"The number of electrons required for deposition of one mole of copper on the
cathode during the electrolysis of CuSO \( _{4} \)
is:
B . 1.2x10 \( ^{2} \)
c. \( 4.8 \times 10^{24} \)
D. 3x10 \( ^{23} \)",,2.0
"A given unit vector is orthogonal to \( \mathbf{5} \hat{\mathbf{i}}+\mathbf{2} \hat{\mathbf{j}}+\mathbf{6} \hat{\boldsymbol{k}} \) and coplanar with \( \hat{\mathbf{i}}-\hat{\boldsymbol{j}}+ \)
\( \hat{k} \) and \( 2 \hat{i}+\hat{j}+\hat{k} \) then the vector is?
A \( \cdot \frac{3 \hat{j}-\hat{k}}{\sqrt{10}} \)
\( ^{\text {В } \cdot \frac{6 \hat{i}-5 \hat{k}}{\sqrt{61}}} \)
c. \( \frac{2 \hat{i}-5 \hat{k}}{\sqrt{29}} \)
\( \frac{2 \hat{i}+\hat{j}-2 \hat{k}}{3} \)",,3.0
"Among the following the species having same geometry for central atom are
(i) \( \boldsymbol{X} \boldsymbol{e} \boldsymbol{F}_{\mathbf{4}} \)
(ii) \( \boldsymbol{S} \boldsymbol{F}_{\mathbf{4}} \)
(iii) \( \left[N i C l_{4}\right]^{2-} \)
(iv) \( \left[\boldsymbol{P d C l}_{4}\right]^{2-} \)
A. (i) and (iv)
B. (i), (iii) and (iv)
c. (ii) and (iii)
D. (iii) and (iv)",,2.0
"a) For concave mirror focal length is taken as
b) For convex mirror, radius of curvature
is taken as
A \( . a= \)positive, \( b= \) negative
B. \( a= \) negative, \( b= \) positive
c. \( a= \) positive \( , b= \) positive
D. \( a= \) negative, \( b= \) negative",,4.0
"Find the sum of first 10 terms of
the arithmetic series if \( a_{1}=2 \) and
\( a_{10}=22 \)
A. 155
в. 120
\( c .165 \)
D. 130",,3.0
"Calculate the charge on the capacitor in coulombs if a 20 -F capacitor has a \( 30-v \) potential difference across it.
A. \( 6.7 \times 10^{-7} \mathrm{c} \)
В. \( 6.0 \times 10^{-4} \mathrm{C} \)
\( c \cdot 1.5 c \)
D. \( 6.0 \times 10^{2} \mathrm{C} \)
E . \( 1.5 \times 10^{6} \mathrm{C} \)",,4.0
"\( \int \sqrt{\boldsymbol{x}} \cdot \log \boldsymbol{x} \boldsymbol{d} \boldsymbol{x}= \)
A. \( \frac{2}{3} x^{3 / 2} \cdot \log x-\frac{4}{9} x^{3 / 2}+c \)
B \( \cdot \frac{2}{3} x^{3 / 2} \cdot \log x+x^{3 / 2}+c \)
c. \( \quad x^{3 / 2} \cdot\left(\log x-\frac{2}{3}\right)+c \)
D \( \cdot \frac{2}{5} x^{3 / 2}(\log x+1)+c \)",,3.0
"A carbohydrate \( X \) having molecular weight \( 180 g m o l^{-1} \) has one primary
alcohol group and four secondary alcoholic groups. It reacts with acetic anhydride to form pentaacetate. The molecular weight of pentaacetate formed is:
A. 180
в. 210
\( c .390 \)
D. 42",,2.0
"\( E_{C l O_{4}^{-} / C l O_{3}^{-}}^{o} \) and \( E_{C l O_{3}^{-} / C l O_{2}^{-}}^{o} \operatorname{are}+0.36 V \)
and \( +0.33 V \) respectively. The
equilibrium concentration of per chlorate ion for the given reaction would be:
\[
\begin{array}{rcc} 
& \mathbf{2 C l O}_{\mathbf{3}}^{-} \rightleftharpoons \mathbf{C l O}_{\mathbf{2}}^{-}+\mathbf{C l O}_{\mathbf{4}}^{-} \\
\boldsymbol{t}=\mathbf{0} & \mathbf{0 . 1} \mathbf{M} & \mathbf{0}
\end{array}
\]
A \( .0 .19 M \)
B. 0.024
c. 0.24
D. 0.019",,2.0
"Ultraviolet light of \( 6.2 \mathrm{eV} \) falls on aluminium surface (work function =
4.2eV). The kinetic energy in joules of the fastest electron emitted is
approximately:
A \( \cdot 3 \times 10^{-21} \)
B . \( 3 \times 10^{-19} \)
c. \( 3 \times 10^{-17} \)
D. \( 3 \times 10^{-15} \)",,4.0
"A ray of light is incident on glass slab making an angle of incidence \( \sin ^{-1}\left(\frac{\sqrt{3}}{2}\right) . \) What will be the angle of
refraction in glass of refractive index
1.5?
\( \mathbf{A} \cdot 40^{\circ} 18 \)
В \( \cdot 24^{\circ} 49^{\prime} \)
c. \( 25^{\circ} \) о \( 7^{\text {। }} \)
\( \mathbf{D} \cdot 35^{\circ} 16^{\prime} \)",,4.0
"\( \mathbf{2} N_{2}+O_{2} \longrightarrow \)
A \( \cdot N_{2} O \)
в. \( N O_{2} \)
c. \( N O \)
D. \( N_{2} O_{2} \)",,2.0
"When the angle of reflection is \( 60^{0} \)
what will be the angle between the incident ray and the mirror?
A \( .30^{\circ} \)
В. \( 60^{\circ} \)
\( c \cdot 90^{\circ} \)
D. \( 45^{\circ} \)",,4.0
"If \( \boldsymbol{\alpha}=\cos \left(\frac{\boldsymbol{8} \boldsymbol{\pi}}{\mathbf{1 1}}\right)+\boldsymbol{i} \sin \left(\frac{\boldsymbol{8} \boldsymbol{\pi}}{11}\right), \) then
\( \boldsymbol{R} e\left(\boldsymbol{\alpha}+\boldsymbol{\alpha}^{2}+\boldsymbol{\alpha}^{3}+\boldsymbol{\alpha}^{4}+\boldsymbol{\alpha}^{5}\right) \) is
A \( \cdot \frac{1}{2} \)
B. \( -\frac{1}{2} \)
\( c \cdot 0 \)
D. None of the above",,3.0
"A charged particle moving at right angles to a uniform magnetic field:
A. Gains energy
B. Loses energy
c. Neither gains nor loses energy
D. Either gains or loses energy",,4.0
"Energy of the electron in Bohr's orbit is equal to?
A. potential energy only
B. Kinetic energy only
c. Sum of potential and kinetic energy
D. difference of kinetic and potential energy",,4.0
"Suggest synthesise for:
\( ^{32} \boldsymbol{P H}_{3}, \boldsymbol{H}_{3}^{32} \boldsymbol{P O}_{3} \) from \( \boldsymbol{C a}_{3}\left(^{32} \boldsymbol{P O}_{4}\right)_{2} \)",,3.0
"Why are NOR gates considered as
universal gates?",,4.0
"The values of Planck's constant is
\( 6.63 \times 10^{-34} J s . \) The velocity of light is
\( 3.0 \times 10^{8} m s^{-1} . \) Which value is closest
to the wavelength in nanometres of a quantum of light which frequency of
\( 8 \times 10^{15} s^{-1} ? \)
\( \mathbf{A} \cdot 5 \times 10^{-18} \)
B. \( 4 \times 10^{1} \)
\( c \cdot 3 \times 10^{7} \)
D. \( 2 \times 10^{-25} \)",,4.0
"State the converse, inverse and
contrapositive of the conditional
statement : 'If a sequence is bounded,
then it is convergent.",,3.0
"Which of the following options is the
only correct representation of a process
in which \( \Delta U=\Delta Q-P \Delta V ? \)
A. \( (I I I)(i i i)(P) \)
B. \( (I I)(i i i)(P) \)
c. \( (I I)(i i i)(S) \)
D. \( (I I)((i v)(R) \)",,2.0
"You want to show that \( \Delta \mathrm{ART} \cong \Delta \mathrm{PEN} \).
If it is given that \( A T=P N \) and you are to
use ASA criterion, you need to have?",,3.0
"Find the sum of period number and group number of phosphorous?
A . 16
B. 17
c. 18
D. 19",,3.0
"Pyramid of energy is always upright, it
represents
A. There is increase in energy of ecosystem.
B. There is decrease in energy due to concentration in successive levels
C. There is decrease in energy due to loss in form of heat in each trophic level
D. There is increase in energy due to gain of heat in each trophic level.",,4.0
"At \( 300 K \), two pure liquids \( A \) and \( B \)
have vapour pressures \( 150 \mathrm{mm} \mathrm{Hg} \)
and 100 mm \( H g \) respectively. In an equimolar liquid mixture of \( \boldsymbol{A} \) and \( \boldsymbol{B} \) the mole fraction of \( B \) in the vapour
mixture at this temperature is:
A . 0.6
B. 0.5
c. 0.8
D. 0.4",,2.0
"The coordinates of a point in 3 -D space is \( (3,1,2) . \) Then the position vector of the point is:
A \( .3 \hat{i}+3 \hat{j}+3 \hat{k} \)
B. \( 3 \hat{i}+2 \hat{j}+\hat{k} \)
c. \( 3 \hat{i}+\hat{j}+2 \hat{k} \)
D. \( \hat{i}+2 \hat{j}+3 \hat{k} \)",,4.0
"Calculate the mass in mole of \( C O_{2} \) that
will dissolve in enough water to form
\( 900 m L \) of solution at \( 20^{\circ} \mathrm{C} \) if the
partial pressure of \( \boldsymbol{C O}_{2} \) is 1 atm. \( \boldsymbol{K}_{\boldsymbol{H}} \) for \( C O_{2} \) is \( 2.3 \times 10^{-2} \) mol \( / \) litre
\( a t m \)
A . 0.0401 mole
B. 0.0301 mole
c. 0.0217 mole
D. 0.0207 mole",,2.0
"Which symbol replaces the unit of atomic mass, amu?
\( A \)
B. A
\( c . \) м
\( D \)",,2.0
"The rate of the first order reaction is
\( 0.69 \times 10^{-2} \) mol \( L^{-1} \) min \( ^{-1} \) and the
initial concentration is \( 0.2 m o l L^{-1} \). The
half life period is:
A . \( 1205 s \)
в. 330
c. \( 600 s \)
D. \( 1 s \)",,2.0
"A sample of \( C a C O_{3} \) has \( C a-40 \%, C= \) \( 12 \% \) and \( 0=48 \% \). If the law of constant
proportions is true, then the mass of Ca
in 5 g of \( C a C O_{3} \) from another source
will be:
A. 2.0
B. \( 0.2 \mathrm{g} \)
c. \( 0.02 g \)
D. 20.0",,2.0
"\( \frac{x^{2}}{8-a}+\frac{y^{2}}{a-2}=1 \) represents an
ellipse.Then find range of 'a'",,3.0
"The IUPAC name of :
A. 3-methoxy-5-nitro benzaldehyde
B. 4-nitro anisaldehyde
c. 3-methoxy-4-formyl nitro benzene
D. 2-formyl-4-nitro anisole",,2.0
"The spontaneous change in specific rotation of an opacity active compound is called ?
A. Mutarotation
B. Rearrangements
c. Inversion
D. Retention",,2.0
"In the nuclear reaction given by \( _{2} H e^{4}+_{7} N^{14} \rightarrow_{1} H^{1}+X \) the nucleus
\( x \) is
A. nitrogen of mass 16
B. nitrogen of mass 17
c. oxygen of mass 16
D. oxygen of mass 17",,2.0
"If \( \operatorname{cosec} \theta=2 x \) and \( y \cot \theta=2, \) then the
value of \( 4\left(x^{2}-\frac{1}{y^{2}}\right) \) is :
\( A \)
B. \( \frac{1}{2} \)
\( c \cdot \frac{1}{3} \)
D.",,3.0
"If \( y \) -coordinate of a point is zero then
the point will always lie
A . in \( I \) quadrant
B. in \( I I \) quadrant
c. on \( X \) -axis
D. on \( Y \) -axis",,3.0
"A body of mass \( m \) slides down a smooth inclined plane having an inclination of
\( 45^{\circ} \) with the horizontal. It takes 4 sec to
reach the bottom. If the body is placed on a similar plane having coefficient of friction \( 0.5 . \) What is the time taken for it
to reach bottom?
A \( .4 \sqrt{2} s e c \)
B. 4 sec
\( \mathrm{c} \cdot 3 \sqrt{2} \mathrm{sec} \)
D. \( 2 s e c \)",,4.0
"The volume of a sphere is \( 38808 \mathrm{cm}^{3} \)
Find its radius and surface area.",,3.0
"The shortest distance between the lines \( \frac{\boldsymbol{x}-\mathbf{5}}{\mathbf{4}}=\frac{\boldsymbol{y}-\mathbf{7}}{-\mathbf{5}}=\frac{\boldsymbol{z}+\mathbf{3}}{-\mathbf{5}} \) and \( \frac{\boldsymbol{x}-\mathbf{8}}{\mathbf{4}}= \)
\( \frac{y-7}{-5}=\frac{z-5}{-5} \) is
A . 45
B . 46
c. 47
D. 48",,3.0
"A step-down transformer converts
transmission line voltage from \( 11000 V \)
to \( 220 V \) The primary of the transformer has 6000 turns and the efficiency of the transformer is \( 60 \% \). If the output power
is \( 9 k W, \) then the input power will be
\( \mathbf{A} \cdot 11 k W \)
в. \( 12 k W \)
c. \( 14 k W \)
D. \( 15 k W \)",,4.0
"Loranthus is a
A. Commensal
B. Epiphyte
C. Parasite
D. Symbiont",,4.0
"A concave shaving mirror has a radius of curvature of \( 35.0 \mathrm{cm} . \) It is positioned so that the (upright) image of a mans face is 2.50 times the size of the face.
How far is the mirror from the face?
A. \( 5.25 \mathrm{cm} \)
B. 21.0 \( \mathrm{cm} \)
\( c \cdot 10.5 \mathrm{cm} \)
D. \( 42 \mathrm{cm} \)",,4.0
"The potential difference b/w \( A \& B \) in the figures is.
A . 24V
B. 14V
c. 32v
\( D \cdot 48 V \)",,4.0
"Solve:
\( \frac{\boldsymbol{d} \boldsymbol{y}}{\boldsymbol{d} \boldsymbol{x}}=\frac{(\boldsymbol{x}-\boldsymbol{y})+\boldsymbol{3}}{\boldsymbol{2}(\boldsymbol{x}-\boldsymbol{y})+\boldsymbol{5}} \)",,3.0
"The correct statement(s) about the
oxoacids, \( H C l O_{4} \) and \( H C l O, \) is (are):
This question has multiple correct options
A. the central atom in both \( H C l O_{4} \) and \( H C l O \) is \( s p^{3} \)
hybridized
B. the conjugate base of \( H C l O_{4} \) is weaker base than \( H_{2} O \)
C \( \cdot H C l O_{4} \) is formed in the reaction between \( C l_{2} \) and \( H_{2} O \)
D. \( H C l O_{4} \) is more acidic than \( H C l O \) because of the resonance stabilization of its anion",,2.0
"Choose the correct answer form the
alternatives given

Match column I with column II and
mark the appropriate choice.
\( \begin{array}{llll} & \text { Column I } & & \text { Column II } \\ \text { (A) } & \text { Li } & \text { (i) } & M_{2} O_{2} \\ \text { (B) } & \text { Na } & \text { (ii) } & M O_{2} \\ \text { (C) } & \text { Rb } & \text { (iii) } & M_{2} O\end{array} \)
\( A \)
\( (A) \rightarrow(i),(B) \rightarrow(i i),(C) \rightarrow(i i i) \)
в. \( (A) \rightarrow(i i i),(B) \rightarrow(i i),(C) \rightarrow(i) \)
\( c \)
\( (A) \rightarrow(i i i),(B) \rightarrow(i),(C) \rightarrow(i i) \)
\( D \)
\( (A) \rightarrow(i i),(B) \rightarrow(i i i),(C) \rightarrow(i) \)",,2.0
\( \frac{\sqrt{2}}{L} \),,3.0
"Which of the following reactions does not occur in stratosphere?
A. \( O_{2}+U V \rightarrow O+O \)
в. \( O_{2}+O \rightarrow O_{3} \)
c. \( C l+O_{3} \rightarrow O_{2}+C l O \)
D. \( S O_{3}+H_{2} O \rightarrow H_{2} S O_{4} \)",,2.0
"Breathing:
A. ventilates lungs
B. draws air into airways
C. expels air from airways
D. all of these",,1.0
"The selling price with VAT, on a cooking range is \( 19,610 . \) If the \( \mathrm{VAT} \) is \( 6 \%, \) what is the original price of the cooking range?",,3.0
"Find out the only wrong statement in
the following:
A. Light travels with a speed greater than that of sound
B. Light cannot travel through vacuum
C. Light travels in a straight line
D. Light has no weight",,4.0
"Phosphine is not obtained, when:
A. red phosphorous us heated with \( N a O H \)
B. white phosphorous is heated with \( N a O H \)
C \( \cdot C a_{3} P_{2} \) reacts with water
D. phosphorous trioxide is boiled with water",,2.0
"Poise is the unit of :
A. surface tension
B. capillarity
c. viscosity
D. buoyancy",,4.0
"Write a short note on ecosystem
services.",,1.0
"The angle between polariser and
analyser is \( 30^{\circ} \) The ratio of intensity of incident light and transmitted by the analyser is
A. 3: 4
B. 4: 3
c. \( \sqrt{3}: 2 \)
D. \( 2: \sqrt{3} \)",,4.0
"Q Type your question
an apartment are groupea as roılows:
The mean length of the plants is 33.43
years using direct method. Find y in the
table
\( \begin{array}{ll}\text { Age(years) } & \text { Number of people } \\ 0-10 & 10 \\ 10-20 & 15 \\ 20-30 & 26 \\ 30-40 & \mathrm{Y} \\ 40-50 & 23 \\ 50-60 & 16 \\ 60-70 & 3 \\ 70-80 & 1\end{array} \)
A . 23
B . 28
c. 15
\( D \)",,3.0
"Define the current sensitivity of a
galvanometer. Write S.I unit
Figure shows two circuits each having a
galvanometer and a battery of \( 3 \mathrm{V} \)
When the galvanometer in each
arrangement do not show any deflection
obtain the ratio \( \boldsymbol{R}_{1} / \boldsymbol{R}_{2} \)",,4.0
